Suman and Vinod,Pune,Food Delivery (SweeDesi),No Deal,₹40 lakhs3% Equity,No Offer,
Krishnan Sunderarajan,Delhi,Metaverse App(Loka),Deal,₹40 lakhs5% Equity,₹40 lakhs24% Equity,"Aman, Anupam, Peyush"
"Aman, Dilip, Sanskriti, Saif",Bangalore,Self-learning App for visually impaired(Annie),Deal,₹30 lakhs0.5% Equity,₹1.05 crores3% Equity,"Anupam, Namita, Peyush"
Surabhi and Chetna Shah,Indore,Reusable Boxes(Carragreen),Deal,₹50 lakhs10% Equity,₹50 lakhs20% Equity,"Anupam, Peyush"
Pratik Gadia,Mumbai,Buy/Sell Yarn(The Yarn Bazaar),Deal,₹50 lakhs2% Equity,₹1 crore10% Equity,"Aman, Anupam, Peyush, Ashneer"
Shashank Modhia,Mumbai,Dialysis Treatment(The Renal Project),Deal,₹1 crore3% Equity,₹1 crore6% Equity,"Aman, Namita"
"Tanmay, Bipin, Kalyani",Valsad,Solar-dried fruits(Morriko Pure Foods),No Deal,₹1 crore3% Equity,₹1 crore25% Equity,
Purva Aggarwal,Delhi,EdFinTech App (Good Good Piggy),No Deal,₹45 lakhs5% Equity,No Offer,
"Sasikanth, Pavan, Sunil",Hyderabad,Coconut based Products (Cocofit),Deal,₹5 5% Equity,₹55% Equity,"Aman, Anupam, Namita"
Rohit Nandwani,Haryana,Tech Products (Hammer Lifestyle),Deal,₹30 lakhs3% Equity,₹1 crore40% Equity,Aman
"Pratik, Ashish",Mumbai,Autonomous Robots(PNT Robotics),Deal,₹50 lakhs4% Equity,₹25 lakhs25% Equity₹25 lakhs Debt,Peyush
Yogesh Shinde,Pune,Bamboo Products(Bamboo India),Deal,₹80 lakhs4% Equity,₹50 lakhs3.5% Equity₹30 lakhs Debt,"Anupam, Ashneer"
Jessica Madan,Delhi,Pets Grooming and Spa(Flying Fur),No Deal,₹75 lakhs7% Equity,No Offer,
Devang and Shachi,Kolkata,Liquid Water Enhancer(Beyond Water),Deal,₹75 lakhs4% Equity,₹75 lakhs15% Equity,"Aman, Namita"
"Nitin, Chitra, Geetanjali, Neelam",Delhi,Snacks(Let’s Try Food),Deal,₹45 lakhs2% Equity,₹45 lakhs12% Equity,"Anupam, Aman"
"Simardeep, Danish, Harshdeep",Delhi,Hyped Sneakers (Find Your Kicks India),Deal,₹50 lakhs10% Equity,₹50 lakhs25% Equity,All Sharks
